index,num,titulo,url,campo,antes,despues,evidencia
0,000001,DreamWeb,juegos/dreamweb-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en caja grande para IBM PC 3 || tags: edición española
0,000001,DreamWeb,juegos/dreamweb-bigbox/,idioma,[],"[""Español""]",tags: software en castellano
0,000001,DreamWeb,juegos/dreamweb-bigbox/,soporte,[],"[""Disquete 3,5\""""]",incluye: 5 disquetes de 3.5
1,000002,Leather Goddesses of Phobos! 2,juegos/leather-goddesses-of-phobos-2-bigbox/,soporte,[],"[""Disquete 3,5\""""]",incluye: 19 disquetes de 3.5
2,000003,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",juegos/gabriel-knight-3-blood-of-the-sacred-blood-of-the-damned-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en jewel case
3,000004,Blade Runner,juegos/blade-runner-bigbox/,mercado,[],"[""España"", ""Portugal""]",descripcion: Esta edición física española/portuguesa en caja grande conserva especial interés documental por representar una de las aventuras cinematográficas más ambiciosas de finales de los noventa y uno de los títulos tardíos más recordados de Westwood fuera de la estrategia en tiempo real || tags: edición española || tags: edición portuguesa
3,000004,Blade Runner,juegos/blade-runner-bigbox/,idioma,[],"[""Español"", ""Portugués""]",incluye: Manual en español/portugués
3,000004,Blade Runner,juegos/blade-runner-bigbox/,soporte,[],"[""CD-ROM""]",incluye: Estuche jewel case con CD-ROM
4,000005,Sam & Max Hit the Road,juegos/sam-max-hit-the-road-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Erbe Software corresponde a la versión en disquetes de 3½ pulgadas e incluye localización al castellano || tags: Edición española
5,000006,Curse of Enchantia,juegos/curse-of-enchantia-bigbox/,mercado,[],"[""España""]",descripcion: con manual en castellano y distribución española mediante Proein Soft Line || tags: edición española
5,000006,Curse of Enchantia,juegos/curse-of-enchantia-bigbox/,idioma,[],"[""Español""]","incluye: Manual en castellano || tags: manual en castellano || descripcion: Esta edición física para IBM PC y compatibles corresponde a la versión en disquetes de 3,5 pulgadas, con manual en castellano y distribución española mediante Proein Soft Line"
5,000006,Curse of Enchantia,juegos/curse-of-enchantia-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: 4 disquetes de 3,5 pulgadas"
6,000007,Heart of China,juegos/heart-of-china-bigbox/,mercado,[],"[""España""]",descripcion: La edición española para PC compatibles destaca por su presentación en caja grande || tags: edición española
6,000007,Heart of China,juegos/heart-of-china-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: Disquetes de 3,5 HD"
7,000008,Arcanum: Hechizos y Engranajes,juegos/arcanum-hechizos-y-engranajes-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en caja grande de Arcanum: Of Steamworks and Magick Obscura || tags: edición española
7,000008,Arcanum: Hechizos y Engranajes,juegos/arcanum-hechizos-y-engranajes-bigbox/,soporte,[],"[""CD-ROM""]",incluye: 2 CD-ROM
8,000009,Vampire: The Masquerade - Redemption,juegos/vampire-the-masquerade-redemption-bigbox/,mercado,[],"[""España""]",descripcion: Su edición española en caja grande || tags: edición española
8,000009,Vampire: The Masquerade - Redemption,juegos/vampire-the-masquerade-redemption-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja Jewel Case
9,000010,Sid Meier's Civilization II,juegos/sid-meiers-civilization-ii-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en Big Box distribuida por Proein corresponde a la versión para Windows en CD-ROM || descripcion: y representa una de las ediciones físicas más relevantes del juego dentro del mercado español de PC de mediados de los noventa || tags: edición española
9,000010,Sid Meier's Civilization II,juegos/sid-meiers-civilization-ii-bigbox/,idioma,[],"[""Español""]","incluye: Manual en castellano || tags: manual en castellano || descripcion: Esta edición española en Big Box distribuida por Proein corresponde a la versión para Windows en CD-ROM, con manual y software en castellano, y representa una de las ediciones físicas más relevantes del juego dentro del mercado español de PC de mediados de los noventa"
9,000010,Sid Meier's Civilization II,juegos/sid-meiers-civilization-ii-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
10,000011,Baldur's Gate,juegos/baldurs-gate-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en caja grande de Baldur's Gate || descripcion: Esta edición española distribuida por Virgin Interactive destaca por conservar el lanzamiento original en 5 CD-ROM || tags: edición española
10,000011,Baldur's Gate,juegos/baldurs-gate-bigbox/,soporte,[],"[""CD-ROM""]",incluye: 5 CD-ROM
11,000012,Baldur's Gate II: Shadows of Amn,juegos/baldurs-gate-ii-shadows-of-amn-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en caja grande conserva especial interés documental por tratarse de una versión íntegra en castellano distribuida en formato físico durante el auge del RPG clásico para PC || tags: edición española
11,000012,Baldur's Gate II: Shadows of Amn,juegos/baldurs-gate-ii-shadows-of-amn-bigbox/,idioma,[],"[""Español""]",tags: versión en castellano
11,000012,Baldur's Gate II: Shadows of Amn,juegos/baldurs-gate-ii-shadows-of-amn-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
12,000013,Loom,juegos/loom-bigbox/,mercado,[],"[""España""]",descripcion: La edición española distribuida por Erbe pertenece a la etapa inicial de localización y comercialización de grandes aventuras de PC en formato físico || tags: edicion espanola
12,000013,Loom,juegos/loom-bigbox/,soporte,[],"[""Disquete 3,5\""""]",incluye: Disquetes de 3.5 pulgadas
13,000014,Alone in the Dark,juegos/alone-in-the-dark-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por ERBE conserva el valor documental de las primeras ediciones físicas para compatibles PC || tags: edición española
13,000014,Alone in the Dark,juegos/alone-in-the-dark-bigbox/,idioma,[],"[""Español""]","incluye: Manual en castellano || descripcion: Esta edición española distribuida por ERBE conserva el valor documental de las primeras ediciones físicas para compatibles PC, con instalación desde disquetes y documentación localizada al castellano"
13,000014,Alone in the Dark,juegos/alone-in-the-dark-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: 4 disquetes de 3,5 pulgadas"
14,000015,Indiana Jones y la Última Cruzada: Aventura Gráfica,juegos/indiana-jones-y-la-ultima-cruzada-aventura-grafica-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en caja grande de Indiana Jones y la Última Cruzada: Aventura Gráfica || descripcion: La edición distribuida por Erbe forma parte del periodo inicial de consolidación de Lucasfilm Games en el mercado español || tags: edición española
14,000015,Indiana Jones y la Última Cruzada: Aventura Gráfica,juegos/indiana-jones-y-la-ultima-cruzada-aventura-grafica-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: Disquetes de 3,5 pulgadas"
15,000016,Grim Fandango,juegos/grim-fandango-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en caja grande de Grim Fandango || tags: edición española
15,000016,Grim Fandango,juegos/grim-fandango-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
16,000017,Master of Orion II: Battle at Antares,juegos/master-of-orion-ii-battle-at-antares-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Proein conserva el formato Big Box de mediados de los noventa || tags: edición española
16,000017,Master of Orion II: Battle at Antares,juegos/master-of-orion-ii-battle-at-antares-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición española distribuida por Proein conserva el formato Big Box de mediados de los noventa, con textos y manual en castellano, y representa una de las publicaciones clave de MicroProse dentro del género de estrategia compleja para MS-DOS y Windows 95"
